試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788115,2026-03-05,Pool C,C,4,Czechia,Korea,628359,Kyung-Eun Noh,803013,Marek Chlup,2,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,4,Czechia,Korea,628359,Kyung-Eun Noh,693973,Martin Muzik,4,安打,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,4,Czechia,Korea,628359,Kyung-Eun Noh,687781,Vojtech Mensik,3,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,4,Czechia,Korea,628359,Kyung-Eun Noh,679925,William Escala,1,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,4,Korea,Czechia,807156,Michal Kovala,823572,Ju Won Kim,5,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,4,Korea,Czechia,807156,Michal Kovala,838339,Do Yeong Kim,4,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,4,Korea,Czechia,807156,Michal Kovala,663330,Jahmai Jones,6,四球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788115,2026-03-05,Pool C,C,4,Korea,Czechia,807156,Michal Kovala,808982,Jung Hoo Lee,1,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,5,Czechia,Korea,838331,Woo Joo Jeong,838351,Max Prejda,1,死球,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
788115,2026-03-05,Pool C,C,5,Czechia,Korea,838331,Woo Joo Jeong,807160,Milan Prokop,3,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,5,Czechia,Korea,838331,Woo Joo Jeong,693975,Martin Cervinka,5,安打,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,5,Czechia,Korea,838331,Woo Joo Jeong,679631,Terrin Vavra,5,本塁打,3,1,1,0,1,1,1,0,0,0,1,0,0,0,0,4
788115,2026-03-05,Pool C,C,5,Czechia,Korea,838331,Woo Joo Jeong,548431,Martin Cervenka,4,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
