試合ID,イニング,攻撃チーム,得点,安打数,失策,残塁,累積得点,得点差
788122,6,Mexico,2,4,0,2,2,-3
788122,6,United States,0,0,0,1,5,3
788122,7,Mexico,0,0,1,0,2,-3
788122,7,United States,0,0,0,1,5,3
788122,8,Mexico,1,1,0,0,3,-2
788122,8,United States,0,1,0,2,5,2
788122,9,Mexico,0,1,0,1,3,-2
788122,9,United States,0,0,0,0,5,2
788111,1,Czechia,0,1,0,1,0,0
788111,1,Japan,0,1,0,1,0,0
788111,2,Czechia,0,0,0,0,0,0
788111,2,Japan,0,1,0,0,0,0
788111,3,Czechia,0,1,0,1,0,0
788111,3,Japan,0,1,0,1,0,0
788111,4,Czechia,0,0,0,0,0,0
788111,4,Japan,0,2,0,2,0,0
788111,5,Czechia,0,0,0,0,0,0
788111,5,Japan,0,1,0,1,0,0
788111,6,Czechia,0,0,1,0,0,0
788111,6,Japan,0,0,0,1,0,0
788111,7,Czechia,0,0,0,0,0,0
788111,7,Japan,0,1,0,1,0,0
788111,8,Czechia,0,0,1,0,0,0
788111,8,Japan,9,5,0,1,9,9
788111,9,Czechia,0,0,0,0,0,-9
